UniprotID_inString,brite
P57105,Membrane trafficking
not found,#N/A
Q96SI9,Spliceosome
Q9GZT8,none
Q6KC79,Chromosome and associated proteins
P21281,Exosome
not found,#N/A
O60568,Glycosyltransferases
P62081,Ribosome
P63220,Ribosome
not found,#N/A
P23526,Protein phosphatases and associated proteins
P46777,Protein phosphatases and associated proteins
P21281,Exosome
Q92688,Messenger RNA biogenesis
P49368,Chaperones and folding catalysts
Q15691,Chromosome and associated proteins
Q96HS1,Enzymes
Q9P032,Mitochondrial biogenesis
Q9Y5K8,none
P62277,Ribosome
Q7L5N1,Ubiquitin system
Q9UBB5,Chromosome and associated proteins
P63279,Ubiquitin system
H0Y6T8,#N/A
not found,#N/A
O75718,Chaperones and folding catalysts
Q07666,Spliceosome
O43242,Proteasome
not found,#N/A
P98175,Spliceosome
P53618,Membrane trafficking
Q9UI30,Transfer RNA biogenesis
O15381,Ribosome biogenesis
Q9HCD5,none
P13639,Translation factors
O75874,Enzymes
Q8WW12,none
Q9NPA0,Membrane trafficking
Q6KC79,Chromosome and associated proteins
Q9UBC2,Membrane trafficking
Q9Y5K8,none
not found,#N/A
O75822,Ribosome biogenesis
Q04917,Protein phosphatases and associated proteins
P22234,Enzymes
O60885,Protein kinases
P35244,DNA replication proteins
Q92879,Spliceosome
Q14789,Membrane trafficking
not found,#N/A
Q15003,Chromosome and associated proteins
O43660,Spliceosome
P35241,Cytoskeleton proteins
Q8NEJ9,Ribosome biogenesis
not found,#N/A
O95861,Transfer RNA biogenesis
Q9NXF1,Ribosome biogenesis
O43660,Spliceosome
Q00839,Spliceosome
P60903,Exosome
P31937,Enzymes
not found,#N/A
Q99747,Membrane trafficking
Q96CT7,none
Q15436,Membrane trafficking
not found,#N/A
not found,#N/A
Q9NQX3,Enzymes
Q8WUY1,none
O15355,Protein phosphatases and associated proteins
O15145,Membrane trafficking
Q15814,Cytoskeleton proteins
Q9H0C8,Protein phosphatases and associated proteins
P25325,Enzymes
Q9BVC6,none
P62328,Cytoskeleton proteins
P62888,Ribosome
Q9HA77,Amino acid related enzymes
Q02809,Exosome
P05455,none
Q8NBM4,Ubiquitin system
Q9UIQ6,Peptidases and inhibitors
P15531,Membrane trafficking
Q14011,Spliceosome
O95696,Chromosome and associated proteins
O94925,Enzymes
Q01518,Membrane trafficking
Q14651,Cytoskeleton proteins
P40925,Enzymes
Q16630,Messenger RNA biogenesis
Q86Y82,Membrane trafficking
A5YKK6,Messenger RNA biogenesis
Q9ULX9,Transcription factors
P62244,Ribosome
not found,#N/A
not found,#N/A
P30086,Peptidases and inhibitors
Q01518,Membrane trafficking
P31939,Exosome
Q8TCS8,Messenger RNA biogenesis
P46779,Ribosome
not found,#N/A
P62280,Ribosome
Q8WZA9,none
O43660,Spliceosome
not found,#N/A
P04632,Peptidases and inhibitors
P53999,Transcription machinery
P63279,Ubiquitin system
Q9Y2G5,Glycosyltransferases
O75475,Spliceosome
P62829,Ribosome
Q9Y2Z4,Amino acid related enzymes
Q9BZZ5,none
O60831,Membrane trafficking
O75976,Peptidases and inhibitors
P28072,Peptidases and inhibitors
Q86U42,Messenger RNA biogenesis
Q86Y82,Membrane trafficking
not found,#N/A
Q10570,Transcription machinery
Q03135,Membrane trafficking
Q13951,none
Q14562,Spliceosome
P15531,Membrane trafficking
O15382,Amino acid related enzymes
Q00587,none
P39687,Messenger RNA biogenesis
Q92973,Messenger RNA biogenesis
Q99459,Spliceosome
P36578,Ribosome
Q13330,Transcription factors
P31146,Membrane trafficking
not found,#N/A
Q99459,Spliceosome
not found,#N/A
Q9NTK5,Chromosome and associated proteins
P24941,Protein kinases
P78371,Chaperones and folding catalysts
P49643,DNA replication proteins
P31949,Domain-containing proteins not elsewhere classified
Q13263,Protein kinases
Q14956,Membrane trafficking
Q14919,Transcription machinery
Q96K17,none
P43304,Enzymes
O15061,Cytoskeleton proteins
O14828,Membrane trafficking
P62829,Ribosome
Q15404,none
P43487,none
Q9Y333,Messenger RNA biogenesis
P53618,Membrane trafficking
Q13595,Protein phosphatases and associated proteins
P62701,Ribosome
Q99460,Proteasome
Q14847,Domain-containing proteins not elsewhere classified
O14656,Chaperones and folding catalysts
Q8WZA0,none
P23528,Membrane trafficking
not found,#N/A
P48556,Proteasome
Q9Y388,Spliceosome
Q13330,Transcription factors
P61081,Ubiquitin system
A5YKK6,Messenger RNA biogenesis
Q9NW64,Spliceosome
not found,#N/A
Q8WW12,none
Q15181,Enzymes
not found,#N/A
not found,#N/A
Q9HCS7,Messenger RNA biogenesis
P24941,Protein kinases
not found,#N/A
P26583,Chromosome and associated proteins
P46782,Ribosome
Q00535,Protein kinases
P10619,Peptidases and inhibitors
Q14919,Transcription machinery
P62888,Ribosome
Q7Z5G4,Membrane trafficking
O14980,Messenger RNA biogenesis
P62263,Ribosome
P26006,Exosome
P05388,Ribosome
Q9UKA9,Spliceosome
not found,#N/A
Q99497,Peptidases and inhibitors
Q8IX12,Transcription machinery
P10619,Peptidases and inhibitors
P62857,Ribosome
Q9H0H5,Membrane trafficking
Q00535,Protein kinases
P36507,Protein kinases
Q9Y262,Translation factors
P50990,Chaperones and folding catalysts
Q15554,DNA replication proteins
P55209,Chromosome and associated proteins
O60841,Translation factors
Q8WZA9,none
not found,#N/A
P09543,Exosome
P09417,Enzymes
Q9UGV2,none
H0Y4K8,#N/A
P61158,Membrane trafficking
Q969X5,Membrane trafficking
Q9Y2L1,Messenger RNA biogenesis
O94925,Enzymes
Q9UIS9,Transcription factors
Q13951,none
P49327,Lipid biosynthesis proteins
Q9BR76,Cytoskeleton proteins
Q6DD88,Membrane trafficking
Q7Z4W1,Enzymes
O14579,Membrane trafficking
P32119,Exosome
P07339,Peptidases and inhibitors
O43670,none
Q9Y230,Chromosome and associated proteins
O15381,Ribosome biogenesis
P06744,Exosome
Q8WXF1,Spliceosome
P07339,Peptidases and inhibitors
P13987,Exosome
Q13595,Protein phosphatases and associated proteins
P35998,Proteasome
O00116,Enzymes
Q92974,Membrane trafficking
P35237,Peptidases and inhibitors
P09543,Exosome
Q9Y6N5,Enzymes
O43175,Exosome
Q9UBR2,Peptidases and inhibitors
not found,#N/A
P62877,Ubiquitin system
P39687,Messenger RNA biogenesis
O15355,Protein phosphatases and associated proteins
Q15365,Messenger RNA biogenesis
P23396,Ribosome
O43390,Spliceosome
Q9Y6N5,Enzymes
E9PAV3,#N/A
P48739,none
P11940,Messenger RNA biogenesis
P62195,Proteasome
P54920,Membrane trafficking
Q15185,Enzymes
not found,#N/A
Q6PIU2,Peptidases and inhibitors
Q9NPA8,Transcription machinery
Q8WVM7,Chromosome and associated proteins
Q3ZCQ8,Mitochondrial biogenesis
Q00765,Exosome
not found,#N/A
Q7Z4V5,DNA repair and recombination proteins
Q9Y314,Spliceosome
P09661,Spliceosome
O43432,Messenger RNA biogenesis
P39023,Ribosome
H0YCD9,#N/A
P07900,Protein phosphatases and associated proteins
not found,#N/A
P35241,Cytoskeleton proteins
not found,#N/A
P05166,Enzymes
O95372,Enzymes
Q9UJU6,Membrane trafficking
not found,#N/A
Q5JTD0,none
Q15185,Enzymes
Q05519,Spliceosome
not found,#N/A
Q9BVK6,Membrane trafficking
P67809,Transcription factors
Q02543,Ribosome
Q9UJU6,Membrane trafficking
P00568,Exosome
Q8TEM1,Messenger RNA biogenesis
P62750,Ribosome
Q12959,Chromosome and associated proteins
Q14444,Messenger RNA biogenesis
Q8IYB8,Mitochondrial biogenesis
P06454,none
P35606,Membrane trafficking
not found,#N/A
P39748,DNA replication proteins
Q9P2R3,Membrane trafficking
Q92665,Ribosome
Q9UNH7,Membrane trafficking
P68371,Chromosome and associated proteins
Q16186,Proteasome
Q9NTZ6,Spliceosome
Q13510,Peptidases and inhibitors
Q8NC56,Cytoskeleton proteins
O60508,Spliceosome
Q14498,Spliceosome
not found,#N/A
Q9H944,Transcription machinery
P67809,Transcription factors
Q14157,Ubiquitin system
P56211,none
not found,#N/A
P51649,Enzymes
P52888,Peptidases and inhibitors
O15269,Amino acid related enzymes
Q8NE71,Translation factors
Q15181,Enzymes
not found,#N/A
Q8IX01,Spliceosome
not found,#N/A
Q12959,Chromosome and associated proteins
O75165,Spliceosome
Q99733,Chromosome and associated proteins
O75165,Spliceosome
P62899,Ribosome
Q14739,Chromosome and associated proteins
O14874,Protein kinases
not found,#N/A
P98179,Spliceosome
Q92900,Messenger RNA biogenesis
P63279,Ubiquitin system
O60831,Membrane trafficking
P62753,Ribosome
not found,#N/A
Q9UGU0,Transcription factors
Q9UBB5,Chromosome and associated proteins
P42766,Ribosome
D3YTI2,#N/A
not found,#N/A
P07195,Exosome
Q9UHL4,Peptidases and inhibitors
O75937,Spliceosome
P06454,none
P53621,Membrane trafficking
Q9UHL4,Peptidases and inhibitors
O75832,Proteasome
Q9HAF1,Chromosome and associated proteins
Q9UFW8,none
P51452,Protein phosphatases and associated proteins
O75718,Chaperones and folding catalysts
Q8TAT6,Ribosome biogenesis
P58546,none
P11388,DNA replication proteins
P51452,Protein phosphatases and associated proteins
P00403,Mitochondrial biogenesis
Q9H223,Membrane trafficking
O15144,Membrane trafficking
P00558,Exosome
Q92499,Spliceosome
P00568,Exosome
P04083,Membrane trafficking
Q13405,Ribosome
Q9H223,Membrane trafficking
Q9Y3B4,Spliceosome
P18085,Membrane trafficking
P39019,Ribosome
P52888,Peptidases and inhibitors
P52565,Exosome
P46781,Ribosome
not found,#N/A
Q9NR50,Translation factors
O60684,Chromosome and associated proteins
Q03518,Transporters
Q96P16,Transcription machinery
Q8NDX5,Chromosome and associated proteins
O60488,Lipid biosynthesis proteins
P60228,Translation factors
Q8IWB7,Membrane trafficking
Q13200,Proteasome
P62942,Chaperones and folding catalysts
Q96E39,none
Q00688,Chaperones and folding catalysts
Q99627,Ubiquitin system
D3YTI2,#N/A
P62263,Ribosome
O95239,Cytoskeleton proteins
Q9NTZ6,Spliceosome
P43304,Enzymes
Q13637,Membrane trafficking
P08708,Ribosome
Q86X76,Enzymes
not found,#N/A
Q92930,Membrane trafficking
Q92900,Messenger RNA biogenesis
P38919,Messenger RNA biogenesis
P51159,Membrane trafficking
P15121,Enzymes
P10606,none
not found,#N/A
P61457,Exosome
Q9H9A6,none
Q13098,Ubiquitin system
O14964,Membrane trafficking
Q9Y314,Spliceosome
not found,#N/A
P14406,none
P51648,Enzymes
P13995,Enzymes
Q9BQ39,Spliceosome
Q8WU90,none
Q6NUK1,Transporters
P62310,Messenger RNA biogenesis
P11142,Protein phosphatases and associated proteins
Q9NTJ3,Chromosome and associated proteins
P22234,Enzymes
P51648,Enzymes
not found,#N/A
O43617,Membrane trafficking
P11940,Messenger RNA biogenesis
P62249,Ribosome
Q92520,none
P31939,Exosome
P62854,Ribosome
Q9NYB0,DNA replication proteins
P04181,Amino acid related enzymes
Q99460,Proteasome
P38919,Messenger RNA biogenesis
Q8WVJ2,none
Q8WW12,none
Q15717,Messenger RNA biogenesis
Q9NPL8,Mitochondrial biogenesis
Q15717,Messenger RNA biogenesis
P26196,Messenger RNA biogenesis
Q9Y624,CD molecules
O43583,Messenger RNA biogenesis
P43686,Proteasome
P37108,Secretion system
Q8NBU5,Enzymes
P82979,Messenger RNA biogenesis
Q9Y624,CD molecules
P63241,Translation factors
Q9UIM3,Chaperones and folding catalysts
Q9NTJ3,Chromosome and associated proteins
Q9H773,Enzymes
P62942,Chaperones and folding catalysts
P55081,Spliceosome
Q8WU90,none
P52434,Transcription machinery
P62942,Chaperones and folding catalysts
Q14978,Transcription machinery
Q9UHV9,Chaperones and folding catalysts
P09211,Transporters
Q9UHV9,Chaperones and folding catalysts
Q01469,none
P35269,Transcription machinery
Q96T88,Ubiquitin system
P28070,Peptidases and inhibitors
Q14152,Translation factors
Q16186,Proteasome
P38159,Spliceosome
Q08722,Cell adhesion molecules
Q9UQ80,none
P43686,Proteasome
P53582,Peptidases and inhibitors
P27635,Ribosome
Q6NUK1,Transporters
not found,#N/A
not found,#N/A
Q9NTJ3,Chromosome and associated proteins
P46063,DNA repair and recombination proteins
O15511,Membrane trafficking
O00231,Proteasome
Q9BRP8,Messenger RNA biogenesis
Q13595,Protein phosphatases and associated proteins
P17028,Transcription factors
Q13310,Messenger RNA biogenesis
P12694,Enzymes
Q92820,Peptidases and inhibitors
P42166,#N/A
Q8WUM4,Membrane trafficking
P14866,Spliceosome
P06865,Chaperones and folding catalysts
P17980,Proteasome
P46776,Ribosome
Q9UK45,Messenger RNA biogenesis
Q9P016,none
Q13595,Protein phosphatases and associated proteins
Q9BTV4,none
O60832,Ribosome biogenesis
P25789,Peptidases and inhibitors
P25788,Peptidases and inhibitors
P68371,Chromosome and associated proteins
Q9H1E5,none
O43684,Spliceosome
not found,#N/A
O14908,Membrane trafficking
P19623,Enzymes
O43491,Domain-containing proteins not elsewhere classified
Q52LJ0,Transfer RNA biogenesis
P49755,Membrane trafficking
P51149,Membrane trafficking
O43291,Peptidases and inhibitors
O14908,Membrane trafficking
Q13561,Chromosome and associated proteins
Q6ZRV2,Cytoskeleton proteins
P09669,none
P06280,Enzymes
P23396,Ribosome
P61160,Membrane trafficking
not found,#N/A
P60174,Exosome
P04899,Exosome
P25786,Peptidases and inhibitors
Q13200,Proteasome
Q02252,Enzymes
O00571,Messenger RNA biogenesis
Q9P2E9,none
P62191,Proteasome
O75663,Protein phosphatases and associated proteins
P16615,Enzymes
O95571,Mitochondrial biogenesis
P42126,Enzymes
Q9UBI6,Exosome
P62333,Proteasome
Q9GZZ1,Chromosome and associated proteins
P35998,Proteasome
P47755,Membrane trafficking
Q9BWM7,Mitochondrial biogenesis
P61247,Ribosome
P49593,Protein phosphatases and associated proteins
not found,#N/A
P15586,Enzymes
Q9Y696,Exosome
not found,#N/A
P15880,Ribosome
not found,#N/A
P35606,Membrane trafficking
P61247,Ribosome
P51116,Messenger RNA biogenesis
not found,#N/A
Q15102,Enzymes
P61978,Spliceosome
O14786,CD molecules
P62913,Ribosome
not found,#N/A
Q96CT7,none
O00410,Ribosome biogenesis
Q13098,Ubiquitin system
P26006,Exosome
O15460,Enzymes
Q9NWV4,none
P20618,Peptidases and inhibitors
P48739,none
Q9BWF3,Spliceosome
Q13190,Membrane trafficking
O95347,Chromosome and associated proteins
P25787,Peptidases and inhibitors
P11166,Transporters
P18754,Messenger RNA biogenesis
Q9Y508,Ubiquitin system
not found,#N/A
P62333,Proteasome
O60231,Spliceosome
P62191,Proteasome
Q14152,Translation factors
P15586,Enzymes
O15269,Amino acid related enzymes
Q9Y314,Spliceosome
Q8NFQ8,Chaperones and folding catalysts
Q9P2R3,Membrane trafficking
Q9BQA1,Spliceosome
P07686,Chaperones and folding catalysts
P07686,Chaperones and folding catalysts
Q9H5V8,CD molecules
O14579,Membrane trafficking
P05387,Ribosome
P34932,Chaperones and folding catalysts
O00487,Peptidases and inhibitors
P27695,DNA repair and recombination proteins
not found,#N/A
P41240,Protein kinases
Q9BTT0,Chromosome and associated proteins
O75475,Spliceosome
P62910,Ribosome
O14818,Peptidases and inhibitors
P62244,Ribosome
P62312,Messenger RNA biogenesis
O14964,Membrane trafficking
P25787,Peptidases and inhibitors
Q96SI9,Spliceosome
not found,#N/A
P35244,DNA replication proteins
Q13151,Spliceosome
Q9NT62,Membrane trafficking
Q32P28,Chaperones and folding catalysts
P52594,Messenger RNA biogenesis
P18084,Membrane trafficking
Q13310,Messenger RNA biogenesis
not found,#N/A
O14964,Membrane trafficking
P30626,Domain-containing proteins not elsewhere classified
P98179,Spliceosome
P61081,Ubiquitin system
P08648,Exosome
P60983,none
Q96AY3,Chaperones and folding catalysts
P49721,Peptidases and inhibitors
Q8WW12,none
O15372,Translation factors
Q14671,none
P28072,Peptidases and inhibitors
O60462,Membrane trafficking
Q8NCA5,none
P27635,Ribosome
Q99471,Chaperones and folding catalysts
Q9H845,Mitochondrial biogenesis
P33176,Membrane trafficking
Q9NTZ6,Spliceosome
Q8NC56,Cytoskeleton proteins
Q9BTE3,none
P62241,Ribosome
Q9BY44,Messenger RNA biogenesis
Q00796,Enzymes
P25788,Peptidases and inhibitors
not found,#N/A
Q8TEA8,Transfer RNA biogenesis
P08240,Secretion system
not found,#N/A
Q01105,Chromosome and associated proteins
Q99627,Ubiquitin system
O15371,Translation factors
O60313,Mitochondrial biogenesis
Q9H910,none
not found,#N/A
Q92499,Spliceosome
Q9BY32,Enzymes
Q9BR76,Cytoskeleton proteins
P13645,Cytoskeleton proteins
P61011,Secretion system
P55884,Messenger RNA biogenesis
Q7L5N1,Ubiquitin system
not found,#N/A
Q00535,Protein kinases
Q92841,Spliceosome
Q13616,Ubiquitin system
Q05682,Cytoskeleton proteins
P63272,Transcription machinery
Q06546,Transcription factors
G3V4M1,#N/A
P46782,Ribosome
P61758,none
P62258,DNA repair and recombination proteins
Q99615,Chaperones and folding catalysts
Q9UN37,Membrane trafficking
not found,#N/A
P36915,none
P08708,Ribosome
O15143,Membrane trafficking
Q16555,none
P30050,Ribosome
not found,#N/A
P61088,Ubiquitin system
Q15007,Messenger RNA biogenesis
P15880,Ribosome
Q9HB71,none
Q9H1E3,none
O95347,Chromosome and associated proteins
P52272,Spliceosome
Q9Y446,none
P20618,Peptidases and inhibitors
Q13564,Ubiquitin system
P31483,Messenger RNA biogenesis
Q9Y285,Amino acid related enzymes
not found,#N/A
Q52LJ0,Transfer RNA biogenesis
O00469,Enzymes
Q96RP9,Translation factors
P23193,Transcription machinery
P84098,Ribosome
P21283,none
P54578,Peptidases and inhibitors
P52272,Spliceosome
Q96ST2,Transcription machinery
P63151,Protein phosphatases and associated proteins
Q14919,Transcription machinery
Q9Y678,Membrane trafficking
Q9H0C8,Protein phosphatases and associated proteins
P11142,Protein phosphatases and associated proteins
Q13418,Protein kinases
Q9BPX3,Chromosome and associated proteins
P61960,Ubiquitin system
P35659,Chromosome and associated proteins
O15173,Exosome
Q15843,Ubiquitin system
P11142,Protein phosphatases and associated proteins
P11717,Exosome
P13995,Enzymes
not found,#N/A
O15371,Translation factors
Q14807,Cytoskeleton proteins
Q13418,Protein kinases
P17812,Enzymes
P00390,Enzymes
Q9NTZ6,Spliceosome
P04004,Exosome
Q99436,Peptidases and inhibitors
O60462,Membrane trafficking
O43684,Spliceosome
P31350,DNA repair and recombination proteins
not found,#N/A
Q9UBQ5,Translation factors
not found,#N/A
Q9Y3E1,none
P62266,Ribosome
Q9BS26,Membrane trafficking
Q08945,Transcription factors
Q14008,Chromosome and associated proteins
Q96RP9,Translation factors
Q16822,Enzymes
P23588,Messenger RNA biogenesis
P10768,Enzymes
Q9BUF5,Chromosome and associated proteins
P25789,Peptidases and inhibitors
Q9NQR4,Enzymes
P06213,Protein kinases
Q9Y3D6,Mitochondrial biogenesis
P83731,Ribosome
P12004,DNA replication proteins
not found,#N/A
P55884,Messenger RNA biogenesis
P33316,DNA repair and recombination proteins
P62495,Messenger RNA biogenesis
P62753,Ribosome
G3V4M1,#N/A
not found,#N/A
not found,#N/A
Q86UP2,Mitochondrial biogenesis
P53621,Membrane trafficking
P63208,Membrane trafficking
P43487,none
Q9H9B1,Chromosome and associated proteins
Q92575,none
P46109,none
P14324,Prenyltransferases
not found,#N/A
P22314,Ubiquitin system
Q13595,Protein phosphatases and associated proteins
P83916,Chromosome and associated proteins
not found,#N/A
Q14974,Ribosome biogenesis
not found,#N/A
P60900,Peptidases and inhibitors
O43447,Spliceosome
Q9NX24,Ribosome biogenesis
Q9Y4I1,Messenger RNA biogenesis
Q15843,Ubiquitin system
Q9Y6G9,Membrane trafficking
P49720,Peptidases and inhibitors
P12268,Exosome
P43007,Transporters
P35237,Peptidases and inhibitors
P62195,Proteasome
Q92692,Cell adhesion molecules
Q9UG63,Ribosome biogenesis
Q8IYB8,Mitochondrial biogenesis
P62851,Ribosome
Q9NU22,Ribosome biogenesis
P13473,Membrane trafficking
Q92734,none
Q9H773,Enzymes
Q9Y3U8,Ribosome
Q9BQA1,Spliceosome
P46783,Ribosome
Q9NRL2,Chromosome and associated proteins
Q9Y2U8,Cytoskeleton proteins
P09382,Exosome
P61221,Ribosome biogenesis
not found,#N/A
Q96FW1,Peptidases and inhibitors
P42126,Enzymes
Q9BTT0,Chromosome and associated proteins
Q99733,Chromosome and associated proteins
P09429,Chromosome and associated proteins
P07711,Peptidases and inhibitors
P46777,Protein phosphatases and associated proteins
P61978,Spliceosome
Q9UBT2,Ubiquitin system
Q14254,Membrane trafficking
Q96A33,Chaperones and folding catalysts
O60568,Glycosyltransferases
Q8TED1,Enzymes
Q99436,Peptidases and inhibitors
P49773,Exosome
Q9NZL4,Chaperones and folding catalysts
P18085,Membrane trafficking
Q9BVK6,Membrane trafficking
P49773,Exosome
Q92905,Peptidases and inhibitors
Q7L2H7,Translation factors
Q9NR12,Domain-containing proteins not elsewhere classified
Q9BTE3,none
not found,#N/A
Q9HC52,Chromosome and associated proteins
O75396,Membrane trafficking
P54727,Proteasome
Q9Y305,Lipid biosynthesis proteins
O60925,Chaperones and folding catalysts
Q01518,Membrane trafficking
Q9BXJ9,Chromosome and associated proteins
P17931,Exosome
P17931,Exosome
P50416,Mitochondrial biogenesis
O75955,Membrane trafficking
not found,#N/A
O75828,Enzymes
Q9BT78,Ubiquitin system
not found,#N/A
P20700,Cytoskeleton proteins
P39019,Ribosome
Q9UKK9,Enzymes
P63208,Membrane trafficking
Q00688,Chaperones and folding catalysts
O00178,Messenger RNA biogenesis
P17812,Enzymes
Q8NBU5,Enzymes
P15880,Ribosome
P26583,Chromosome and associated proteins
P60866,Ribosome
P20700,Cytoskeleton proteins
Q03252,Cytoskeleton proteins
O60749,Membrane trafficking
P12277,Exosome
P30533,none
P39748,DNA replication proteins
Q14008,Chromosome and associated proteins
Q9Y696,Exosome
Q13418,Protein kinases
D3YTI2,#N/A
Q9H0H5,Membrane trafficking
Q9H4G0,Domain-containing proteins not elsewhere classified
P11717,Exosome
Q14956,Membrane trafficking
P30533,none
Q8TB36,Mitochondrial biogenesis
O75821,Translation factors
Q9UBE0,Ubiquitin system
not found,#N/A
P32119,Exosome
Q9UNF1,Domain-containing proteins not elsewhere classified
Q9UFW8,none
P60900,Peptidases and inhibitors
Q12905,Spliceosome
O75874,Enzymes
O14818,Peptidases and inhibitors
Q9H019,none
O43765,Chaperones and folding catalysts
Q9UNF1,Domain-containing proteins not elsewhere classified
not found,#N/A
Q9H307,Messenger RNA biogenesis
not found,#N/A
P46782,Ribosome
O15347,Chromosome and associated proteins
P07093,Peptidases and inhibitors
Q15370,Ubiquitin system
O00592,none
Q5TDH0,Proteasome
P33121,Lipid biosynthesis proteins
Q99471,Chaperones and folding catalysts
P25398,Ribosome
P49458,Secretion system
O75821,Translation factors
Q8IWB7,Membrane trafficking
Q99614,Chaperones and folding catalysts
Q9HD45,Exosome
O75475,Spliceosome
Q8NE86,Mitochondrial biogenesis
O60264,Transcription machinery
Q14694,Peptidases and inhibitors
P28070,Peptidases and inhibitors
Q13177,Protein kinases
Q92572,Membrane trafficking
O14818,Peptidases and inhibitors
P62857,Ribosome
P00492,Enzymes
not found,#N/A
Q15554,DNA replication proteins
Q9BXJ9,Chromosome and associated proteins
O60568,Glycosyltransferases
Q02252,Enzymes
not found,#N/A
not found,#N/A
not found,#N/A
O94766,Glycosyltransferases
Q9Y3F4,Spliceosome
O15020,Cytoskeleton proteins
P61758,none
Q7L2H7,Translation factors
P20618,Peptidases and inhibitors
O14980,Messenger RNA biogenesis
Q86UE4,none
Q9UMY4,Membrane trafficking
O00442,Enzymes
P13674,Enzymes
P33991,DNA replication proteins
P55010,Translation factors
Q9P2R7,Exosome
Q9H845,Mitochondrial biogenesis
P42765,Enzymes
O60869,none
P06493,Protein kinases
not found,#N/A
P09651,Messenger RNA biogenesis
Q99497,Peptidases and inhibitors
Q6DD88,Membrane trafficking
P31350,DNA repair and recombination proteins
P06865,Chaperones and folding catalysts
not found,#N/A
P11717,Exosome
P30085,Enzymes
P39748,DNA replication proteins
not found,#N/A
Q5SW79,Chromosome and associated proteins
Q86UE4,none
P15170,Messenger RNA biogenesis
Q9Y2K7,Transcription factors
Q99961,Membrane trafficking
P55209,Chromosome and associated proteins
P49755,Membrane trafficking
P62873,Exosome
not found,#N/A
not found,#N/A
P39687,Messenger RNA biogenesis
Q92598,Chaperones and folding catalysts
not found,#N/A
Q9Y6N5,Enzymes
P23528,Membrane trafficking
not found,#N/A
O95747,Protein kinases
Q01658,Transcription machinery
Q15417,none
O15042,Spliceosome
Q14444,Messenger RNA biogenesis
P35754,Chaperones and folding catalysts
P12277,Exosome
P68036,Ubiquitin system
O15042,Spliceosome
Q8WVJ2,none
not found,#N/A
P13489,none
P48556,Proteasome
not found,#N/A
Q8NE86,Mitochondrial biogenesis
P31946,DNA repair and recombination proteins
P63173,Ribosome
P51532,Transcription machinery
P60842,Messenger RNA biogenesis
P13639,Translation factors
not found,#N/A
not found,#N/A
P36776,Peptidases and inhibitors
P60228,Translation factors
Q9Y6I9,none
P35080,Membrane trafficking
Q9H9A6,none
Q00839,Spliceosome
Q8IVL5,Chaperones and folding catalysts
Q14980,Chromosome and associated proteins
Q92817,Cytoskeleton proteins
Q14980,Chromosome and associated proteins
not found,#N/A
Q9NT62,Membrane trafficking
O14773,Peptidases and inhibitors
Q14651,Cytoskeleton proteins
O75312,none
P57740,Messenger RNA biogenesis
Q9BS26,Membrane trafficking
P62263,Ribosome
not found,#N/A
Q02252,Enzymes
P36551,Enzymes
not found,#N/A
P26583,Chromosome and associated proteins
O00231,Proteasome
Q8TEM1,Messenger RNA biogenesis
P41240,Protein kinases
P57105,Membrane trafficking
O60568,Glycosyltransferases
P09211,Transporters
P53004,Enzymes
Q9H9B1,Chromosome and associated proteins
not found,#N/A
Q14320,Spliceosome
Q8WUM0,Messenger RNA biogenesis
not found,#N/A
Q9UHY7,Enzymes
not found,#N/A
Q9NSD9,Amino acid related enzymes
Q15369,Ubiquitin system
P07195,Exosome
Q32P28,Chaperones and folding catalysts
Q96C19,Domain-containing proteins not elsewhere classified
Q8TB36,Mitochondrial biogenesis
Q8WUM0,Messenger RNA biogenesis
Q8NFH4,Messenger RNA biogenesis
O15269,Amino acid related enzymes
Q16512,Protein kinases
not found,#N/A
not found,#N/A
Q8IWB7,Membrane trafficking
Q9UNF0,Membrane trafficking
Q92572,Membrane trafficking
Q6ZRV2,Cytoskeleton proteins
P33992,DNA replication proteins
Q9Y266,Chromosome and associated proteins
P55036,Proteasome
P13010,DNA repair and recombination proteins
Q06210,Peptidases and inhibitors
P17812,Enzymes
P63244,Messenger RNA biogenesis
P40925,Enzymes
Q9Y2K7,Transcription factors
Q16831,Enzymes
Q15417,none
Q7L2E3,Spliceosome
P51116,Messenger RNA biogenesis
O75347,Cytoskeleton proteins
P17980,Proteasome
P25789,Peptidases and inhibitors
P06744,Exosome
P39687,Messenger RNA biogenesis
Q15436,Membrane trafficking
Q96GD0,Protein phosphatases and associated proteins
P42126,Enzymes
Q9NQX3,Enzymes
Q16851,Enzymes
Q7KZF4,none
not found,#N/A
Q9UHV9,Chaperones and folding catalysts
O00442,Enzymes
P51858,Glycosaminoglycan binding proteins
Q02318,Cytochrome P450
not found,#N/A
Q9UNF0,Membrane trafficking
not found,#N/A
Q9NR50,Translation factors
P25205,DNA replication proteins
P08708,Ribosome
not found,#N/A
not found,#N/A
Q13442,none
Q9BWM7,Mitochondrial biogenesis
P43007,Transporters
not found,#N/A
P42126,Enzymes
P49748,Enzymes
O94888,Ubiquitin system
P61201,Ubiquitin system
Q14011,Spliceosome
P07737,Membrane trafficking
Q15121,none
P51571,Membrane trafficking
not found,#N/A
not found,#N/A
P50395,Exosome
not found,#N/A
Q15121,none
P28482,Protein kinases
not found,#N/A
Q13363,Membrane trafficking
P54578,Peptidases and inhibitors
not found,#N/A
O00264,Exosome
